instance_id,book_id,available,image
32,26,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeiadgbnf3ydnxhyqkobfrfksqcail4rfsuxa5q53zihvbgaciz6ike
33,27,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeidk54iegg6m2czdg6nsonjt62hu7aik5rmmj7dhghifr5aanjjdci
34,28,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeiguwivyzkwnbj3wjfzm4n5fyurux5gobdegk26c62hktggrypgvlu
42,28,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeibt2ncpfu2o5smqedl2vtf24o645lcgxwximyflrdwi3zsnyzs7e4
35,29,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeihpoqsskla6gcancru72ma32ftedgdezl4zzi22q3qgbsgjegqjhm
36,30,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeiepoizkhlhgyqk22btghq4hptxnwolgmppdm3gnbssrve2nkfkfaq
37,31,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeiefvrupvuyevs4gdfevt23556xeuoldjbzedg7zm6znyrmxlfopaq
38,32,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeidwjmeunlq274kdsv4kgwhrc62qxyojpuvzkoixymnndhp5vvhejy
39,33,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeifrhtwp35g2ee6gbnzn3snfbe7acfz4xr37jqeizvez3yp23zaw4a
40,34,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeiet5pimbb6lsijnd6wgwhifjiwb63v3ox4dat36cbojlg5br43pni
41,35,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeienm53joz4ujqishod5rom22ryd6wkbvi24jqw5pl4hyv4cxnsmgq
43,36,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeifv6wgmc44fzlulunpewmekjqplwqogya3kjqurrmw3obwyve7l5e
44,37,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeiexlkojp6vboancpf77z22xzj7hdqsgqoopvzw33lmjvza5hqmxdm
45,38,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeicskozkly66atfcoldnoceobud46t77stvq3zzbvhuheqimzbyd6y
46,39,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeicfzssx7dnceor4owdaz2vipcomqnttwfaaoxakoedx5az63fdd6u
47,40,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeic5zqz7hz7cndnibmnmsl6pzf223tdqlojhamqtugoxjaepsxd7su
48,41,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeic2nds4emamayjrsejkddhnkc3c24keatf3yfs2tf6zdhw3qamvyq
52,42,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeig42rc4t6v2djy6c6hvga3a77yhlsofv6ltbcsl7hu5q2pclit2ie
53,43,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeicnix7m73cpxvxj6753mmt2ywduisedvu7bruz23fypp5jzuvfkhe
54,44,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeiaohdvb4qkvqqlo6cgfzalaczk35rvnokyo3lm7f3ojcrnaixxmlq
56,45,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeickkkdbbdayiqmhup6mmpf73q7tlbyj5bgl23ghh7mcivy6esfvge
57,46,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeidk5vs3dwulwbh5xcleka2efviuzoqijbgh3hdvsraq7uqhyxbzya
58,47,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeid7flndlucklgd2dh7e7jcvnjthyqamus7ano5m6rzrnh5qvtnqoa
61,48,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeia26cdjtjhtmhggvdspwzcvfedkxtb3csdvvkwg567c3iw2uphbha
63,49,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeif2mwzqand2mwfxmjk76o6squg4wy6j4ecb3szm2cfdgtswtt7qyy
64,50,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeiapfoy7kkgvpw53beeolf3k5yuj4ywf2wk6squzkd2rk6pry3eyb4
68,51,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeieo7cxn72sukdkdgiimhit4g24sinj3tojnfhr3zwq3oixocqyu2m
70,52,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeicx2u45lxwsbklbpdk7x53rbhzvvggtvq2rp7eoe3glm2vgmwhwau
71,53,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeidcd6i6b5aperrstd6crnqjan5zcpoejvfafv5gij7oqgcc77bcp4
73,53,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeihpzcv7svydugwye3jflayrue4qhajj2kgzeyqvqdzx7rjcvhfaqu
74,53,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeibabt7mvgbianbtpudkc543abl6ier4ajnkbuhatod4j2fy3xfq4i
99,53,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeiewgzg2wsmxqlswjpodpy2jv7gloyfogxbpwh3abhsxlkukejrduq
112,53,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeiaja5ndseebqst6fmnbrpq427pqicacl5mpe7574yxxkivsto5vry
75,54,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeiflk6u246i37dbztyzfil53nsvghficyautmk2spkly5v4yvgapvu
76,54,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeigzgy4ydl7352zrtljn7qyzq23myehtqaha25ytm42wshhd2pzwwa
77,55,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeic3iycy2ofutwf37rvmxzyhdshm3lmvtnjk52pxf5bt2m7hheho44
78,56,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeidwr7aplkirfh3ztcqdg2uf3ebddibnkycreohwop4xssc67f5rge
79,57,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeihjgh4unsp7rr23qufuryfkhyzcq4p2j4ylxhfmgjzzj3eu46ov2u
80,58,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeibsnrzjyfoconmfkvm74cud32yjfxdifjmr7p7usow365ub2ehyqy
81,59,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeiebj35uj2iozvwfyz3g3ad7ixekoqllenvbbvdrqbartfrg5vmlui
83,60,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeifmhxzt4375obhwgfmkroavmj77romec7um2wcka7k6aur54r3sye
84,61,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeiakw3ls5yxb5yxzgnmrbmbaey3eq5qmueh7bzqq2evwhner5lcpym
85,62,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeihw56r7fclye7l3qg3kgoirgptpd4xawagdsetce67uik265st4lm
91,62,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeib52lecqybcxbk2f3upmqxsj3vw6ed5ff5x6bklpwnfznuynm4rye
86,63,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeidppmlclc6m3aqjew4eou3iwfaunwic2gmxi2dluxq45ju3ujf5t4
87,64,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeibmuqxoqwcpdgvacrpyw4svxv5uisvheghba2r67jxd562glxh5ii
88,65,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeido6dheclcy552kn2npqlkff6yghrjedfeylxeox55mi4dvhx6yau
89,66,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeigrstm4egsilk7drkrpeqzljf7oas4jrcf57lsu4xc77vd2ct35vi
90,67,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeiamg5j74fdt4t2kn53ul3l5hfepo3ybd32gieseel47f5xgjwbhd4
92,68,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeic5wf67g377p2oadozlqmqvbff5mqdltsf55lurlp5auzhm7vs6ti
93,69,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeiha4tk2hefgo4gfqs3u5tnl3zb4gsnpa7tpbzf6nfnlsbsal4yuju
94,70,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeiahvbdpjfhikrw4mz357la4nbebzn4gchzw5nlbjyaycbbzaxc4fu
95,71,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeiasuxjcqaryyor7vhlg7v5cm57pic6jhjtihglnbmjz3itpotfoci
97,72,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeifgi3emu4blks5jgclop7vfggjrztmfjrsrqq6uolz7a2qkl5oir4
98,73,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeidpf6f7epyy6d6de5zadsdwtow53oytiangyjgax4awd2kwdu7rca
100,74,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeifokxsaqjb5jk45si77t5cz65qrterl45lezntfnumpa5kxuhdy4m
101,75,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeicb5rhzxokhwlpiwjmpapbhawxarmy3dyygpcfcqoaxjrzsmca3pu
102,76,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeicrur4t32f2vk6bgi3v2ovbyouwhdlimvvrvgvfcnvvkenbsk4uf4
103,77,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeihvol2shq7kydd7xkguannwfjhgqcuag7xf3y7x4bhnqt3jagogmu
104,78,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeicmmvbabvitm3ftj5blvm332fb4amq3mx4xwcjukqu6h2ihkgeahy
105,79,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeidwmwttlsu6hqkjipkalunhyblwr5lmbklb3eywtlidl3ushq2l3e
106,80,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeiho5g2tfc7niwb5krqmt5lpxoox6u7vrzgmo7b3zbyd2o4fkuho24
107,81,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeibxranxf4idbjs3i5ofq3ym7y4mpeg37wmc2l2lpkbmyhoyhjwv3i
108,82,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeihesh6ookfwr6cs3pudtcs7mewybex77ztgrqhvvmlw4gvaqul4qq
109,83,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeihgiy7kzfhe2oq3o22iu65on3ev46x6bdmprulwdcj3cpsubhnnpu
110,84,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeiala5ziphuyc5z6oxf335ohtya3a5bomwgqtqkgzooo62mdlj3kbi
111,84,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeih2ibgiivu6s5uywmv4c5ixcidbnzcymdv57ur5u47qqxcvr4sa6m
113,85,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeia5bttedqnvlg5fslq2hj4h23qp3uzlsfr6cfoymnptxuunuwxfce
114,85,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeifs4fdmilfi7oq4jolzyholdh5bljz3gm4cqn7mm4dcagygfymh6i
115,85,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeiblv62tjka2shbmidllhx23ttpuprt6rizufhb62us4kij6w6izea
118,85,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeigvjx6xdiutei252ywmhhafykbcm2w35tq4d2cop744oagnr6vfmq
119,85,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeiaf76aetvpwhpkqwb5bndrauqvgwnxnyycm5qa6lpctbwcr4qzgm4
120,85,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeib3fhnfehdujca5euxpqhouv4bof7q3vhfbwajl2njfvrvy53cnqq
121,85,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeiczwei4lq6wk4einmfidhsfwbn5e2hstzpgcsbxyih2s3pbi2yz3e
122,85,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeifbb3weikubqiepldqmum74zvn722wiokrxoedhyjjvporqfslysu
116,86,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeidtusxzjfvogzyz3woe74g2xopi7dttyj2iwlibconracvuwnv3a4
117,87,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeif2b7w6gntk6q6gg5r6ersxqbvqxlbj3wdqj5wfihatosskmokztu
132,88,True,https://amaranth-defiant-snail-192.mypinata.cloud/ipfs/bafybeihiqrf2mwrqdlob2co4chduz3klw7wv3vtychy6ojxkq5fbqr3i74
